"winner","round_type","ct","t"
"ct","PISTOL_ROUND",2950,4300
"ct","ECO",18400,4600
"ct","ECO",25000,1500
"ct","NORMAL",27550,23100
"t","ECO",5850,22450
"ct","PISTOL_ROUND",4100,2500
"t","SEMI_ECO",18600,7150
"ct","NORMAL",33300,24800
"t","FORCE_BUY",34100,16250
"ct","SEMI_ECO",32050,12300
"ct","NORMAL",32050,24800
"ct","ECO",32650,7550
"ct","NORMAL",34050,28950
"ct","NORMAL",22400,14850
"t","NORMAL",28500,24700
"t","ECO",29000,8050
"t","FORCE_BUY",10650,21950
"t","ECO",1900,28250
"ct","NORMAL",27450,29450
"ct","PISTOL_ROUND",3450,4400
"ct","ECO",10750,1700
"ct","NORMAL",17450,21550
"ct","ECO",22850,2350
"t","NORMAL",25250,25550
"t","ECO",4350,28800
"ct","NORMAL",25900,27350
"ct","NORMAL",18750,23400
"ct","FORCE_BUY",23900,11250
"ct","ECO",31000,5600
"ct","SEMI_ECO",31050,12750
"t","NORMAL",31050,26500
"ct","ECO",7550,24850
"t","ECO",31800,10200
"t","FORCE_BUY",13700,23450
"t","PISTOL_ROUND",4450,4050
"t","NORMAL",6850,10750
"t","ECO",2800,17250
"t","ECO",9700,26200
"t","NORMAL",28200,20250
"t","NORMAL",21300,22650
"t","NORMAL",4300,4300
"t","ECO",7150,19350
"ct","ECO",1100,20800
"ct","NORMAL",26500,23300
"ct","ECO",29050,2100
"t","NORMAL",31550,22100
"t","NORMAL",25700,26550
"t","ECO",7500,25250
"ct","NORMAL",22700,27850
"ct","FORCE_BUY",26800,12950
"ct","ECO",27850,2350
"ct","NORMAL",31850,23300
"ct","ECO",31850,5250
"ct","NORMAL",29750,26150
"t","SEMI_ECO",33550,14600
"ct","PISTOL_ROUND",4300,4250
"ct","ECO",20250,2900
"ct","NORMAL",25750,19950
"ct","ECO",29100,6750
"t","NORMAL",31350,24250
"t","NORMAL",28750,21400
"t","ECO",2400,23950
"ct","NORMAL",23200,26200
"ct","NORMAL",25400,26050
"t","ECO",28400,5050
"t","ECO",2300,24200
"t","ECO",1500,27500
"t","NORMAL",23000,28150
"t","PISTOL_ROUND",3600,3200
"t","ECO",5800,15350
"t","ECO",1000,16000
"ct","NORMAL",19750,22950
"ct","NORMAL",20200,18400
"t","NORMAL",22450,21850
"ct","FORCE_BUY",11300,22100
"t","NORMAL",20600,15100
"ct","ECO",7900,22600
"ct","NORMAL",20600,21400
"ct","SEMI_ECO",23950,10600
"ct","FORCE_BUY",25050,13950
"t","NORMAL",25050,15950
"t","NORMAL",23600,22600
"ct","FORCE_BUY",13600,26550
"t","SEMI_ECO",7300,16400
"t","ECO",3350,21850
"t","NORMAL",16100,23150
"t","ECO",6850,26200
"t","NORMAL",26750,26000
"ct","NORMAL",16650,26000
"ct","NORMAL",27150,17600
"ct","NORMAL",26250,16800
"ct","ECO",30500,2450
"t","NORMAL",29550,19850
"t","NORMAL",24150,26100
"ct","PISTOL_ROUND",3800,4250
"ct","SEMI_ECO",16600,7150
"ct","ECO",17100,1350
"ct","NORMAL",26600,23450
"ct","ECO",30100,2500
"ct","NORMAL",30700,25100
"ct","FORCE_BUY",31450,18550
"t","FORCE_BUY",31000,15850
"t","NORMAL",29050,25100
"t","NORMAL",16900,27850
"t","ECO",2900,22200
"t","NORMAL",27100,29350
"t","ECO",5000,30200
"ct","NORMAL",30200,27600
"t","NORMAL",31950,28600
"t","PISTOL_ROUND",3600,4400
"t","FORCE_BUY",8350,15000
"t","ECO",4150,20300
"ct","NORMAL",24800,22450
"ct","NORMAL",29200,23950
"ct","ECO",26500,4500
"t","NORMAL",30250,24950
"ct","NORMAL",24900,28700
"ct","NORMAL",23150,18800
"t","ECO",26900,1450
"ct","NORMAL",19700,27950
"ct","ECO",29400,3150
"ct","NORMAL",29750,24350
"t","SEMI_ECO",31900,13750
"ct","NORMAL",27850,25050
"t","PISTOL_ROUND",4350,4350
"t","ECO",5600,17300
"t","ECO",1950,18900
"ct","NORMAL",23100,23850
"t","NORMAL",23150,27450
"t","FORCE_BUY",12600,24900
"t","ECO",2100,25600
"ct","NORMAL",23100,24200
"t","NORMAL",26300,27050
"ct","ECO",7350,27650
"ct","NORMAL",26750,21100
"t","NORMAL",26400,17350
"ct","NORMAL",19450,18550
"ct","ECO",27800,9250
"t","PISTOL_ROUND",4450,4100
"ct","PISTOL_ROUND",7350,17550
"ct","ECO",22450,6350
"ct","ECO",25200,5200
"t","NORMAL",26850,21300
"t","NORMAL",25550,22250
"t","ECO",7850,21400
"ct","NORMAL",20350,23250
"ct","FORCE_BUY",25800,13400
"ct","NORMAL",26200,17700
"ct","ECO",31100,8250
"ct","NORMAL",32200,19350
"ct","ECO",20150,3950
"ct","ECO",26000,1000
"ct","NORMAL",27350,22400
"ct","ECO",30550,4050
"ct","NORMAL",33200,24700
"ct","NORMAL",32900,22700
"t","ECO",32900,10000
"t","NORMAL",33300,26050
"t","NORMAL",22600,23150
"ct","ECO",6300,23900
"t","NORMAL",27400,20950
"ct","NORMAL",17000,24400
"ct","FORCE_BUY",25350,14250
"ct","ECO",28150,9400
"t","PISTOL_ROUND",4300,4200
"t","ECO",6400,20500
"t","ECO",5300,17850
"t","FORCE_BUY",10900,22200
"t","NORMAL",13400,20100
"t","PISTOL_ROUND",4350,4350
"ct","FORCE_BUY",8550,16800
"t","ECO",18450,1700
"t","ECO",3400,24500
"t","NORMAL",15450,24050
"t","ECO",4200,26750
"ct","NORMAL",29650,19800
"ct","ECO",31800,4800
"t","NORMAL",29200,24900
"t","NORMAL",15300,24250
"t","ECO",2650,22750
"ct","NORMAL",22300,27650
"ct","NORMAL",28550,19900
"ct","ECO",31150,3000
"ct","NORMAL",32250,21300
"t","PISTOL_ROUND",4450,4200
"t","SEMI_ECO",6350,16450
"t","ECO",2500,19050
"t","NORMAL",23950,24800
"t","ECO",4900,25900
"t","NORMAL",25800,26400
"t","ECO",8800,27650
"ct","NORMAL",30400,28050
"ct","NORMAL",26200,24200
"ct","NORMAL",30300,24600
"ct","ECO",25750,5950
"t","NORMAL",30550,25950
"t","ECO",7750,27350
"ct","PISTOL_ROUND",4350,3450
"ct","SEMI_ECO",16100,7000
"ct","ECO",18400,3500
"ct","NORMAL",27850,21400
"ct","ECO",30300,10700
"t","FORCE_BUY",30700,16850
"t","NORMAL",29450,18800
"t","ECO",2400,29100
"ct","NORMAL",25150,30800
"t","NORMAL",33250,25450
"t","ECO",1900,26350
"t","NORMAL",22400,27450
"t","ECO",3300,27550
"t","NORMAL",26900,28150
"ct","FORCE_BUY",18000,30200
"ct","PISTOL_ROUND",4300,3750
"ct","ECO",20450,6250
"ct","ECO",24700,1000
"t","NORMAL",25800,23900
"ct","NORMAL",20450,24650
"ct","ECO",25450,7200
"ct","NORMAL",25850,16400
"ct","SEMI_ECO",29100,11750
"ct","FORCE_BUY",29800,15550
"t","PISTOL_ROUND",3700,4250
"t","FORCE_BUY",8850,18150
"t","ECO",1200,20250
"t","NORMAL",23450,25800
"t","ECO",5350,23300
"t","NORMAL",27100,24200
"t","ECO",10150,27750
"t","NORMAL",26150,28150
